Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2007Q3,Debtor's petition,New South Wales,Yes,641
2007Q3,Debtor's petition,Victoria,Yes,377
2007Q3,Debtor's petition,Queensland,Yes,367
2007Q3,Debtor's petition,South Australia,Yes,96
2007Q3,Debtor's petition,Western Australia,Yes,81
2007Q3,Debtor's petition,Tasmania,Yes,36
2007Q3,Debtor's petition,Northern Territory,Yes,8
2007Q3,Debtor's petition,Australian Capital Territory,Yes,13
2007Q3,Debtor's petition,Other,Yes,7
2007Q3,Sequestration order,New South Wales,Yes,144
2007Q3,Sequestration order,Victoria,Yes,125
2007Q3,Sequestration order,Queensland,Yes,101
2007Q3,Sequestration order,South Australia,Yes,13
2007Q3,Sequestration order,Western Australia,Yes,20
2007Q3,Sequestration order,Tasmania,Yes,8
2007Q3,Sequestration order,Northern Territory,Yes,3
2007Q3,Sequestration order,Australian Capital Territory,Yes,3
2007Q3,Sequestration order,Other,Yes,9
2007Q3,Total bankruptcies,New South Wales,Yes,785
2007Q3,Total bankruptcies,Victoria,Yes,502
2007Q3,Total bankruptcies,Queensland,Yes,468
2007Q3,Total bankruptcies,South Australia,Yes,109
2007Q3,Total bankruptcies,Western Australia,Yes,101
2007Q3,Total bankruptcies,Tasmania,Yes,44
2007Q3,Total bankruptcies,Northern Territory,Yes,11
2007Q3,Total bankruptcies,Australian Capital Territory,Yes,16
2007Q3,Total bankruptcies,Other,Yes,16
2007Q3,Deceased estate,New South Wales,Yes,0
2007Q3,Deceased estate,Victoria,Yes,0
2007Q3,Deceased estate,Queensland,Yes,2
2007Q3,Deceased estate,South Australia,Yes,0
2007Q3,Deceased estate,Western Australia,Yes,0
2007Q3,Deceased estate,Tasmania,Yes,0
2007Q3,Deceased estate,Northern Territory,Yes,0
2007Q3,Deceased estate,Australian Capital Territory,Yes,0
2007Q3,Deceased estate,Other,Yes,0
2007Q3,Debt agreement,New South Wales,Yes,20
