Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Sep-07,Debtor's petition,New South Wales,Yes,641,,
Sep-07,Debtor's petition,Victoria,Yes,377,,
Sep-07,Debtor's petition,Queensland,Yes,367,,
Sep-07,Debtor's petition,South Australia,Yes,96,,
Sep-07,Debtor's petition,Western Australia,Yes,81,,
Sep-07,Debtor's petition,Tasmania,Yes,36,,
Sep-07,Debtor's petition,Northern Territory,Yes,8,,
Sep-07,Debtor's petition,Australian Capital Territory,Yes,13,,
Sep-07,Debtor's petition,Other,Yes,7,,
Sep-07,Debtor's petition,Total,Yes,1626,,
Sep-07,Debtor's petition,New South Wales,No,1525,,
Sep-07,Debtor's petition,Victoria,No,927,,
Sep-07,Debtor's petition,Queensland,No,866,,
Sep-07,Debtor's petition,South Australia,No,381,,
Sep-07,Debtor's petition,Western Australia,No,208,,
Sep-07,Debtor's petition,Tasmania,No,162,,
Sep-07,Debtor's petition,Northern Territory,No,12,,
Sep-07,Debtor's petition,Australian Capital Territory,No,27,,
Sep-07,Debtor's petition,Other,No,12,,
Sep-07,Debtor's petition,Total,No,4120,,
Sep-07,Debtor's petition,New South Wales,Total,2166,,
Sep-07,Debtor's petition,Victoria,Total,1304,,
Sep-07,Debtor's petition,Queensland,Total,1233,,
Sep-07,Debtor's petition,South Australia,Total,477,,
Sep-07,Debtor's petition,Western Australia,Total,289,,
Sep-07,Debtor's petition,Tasmania,Total,198,,
Sep-07,Debtor's petition,Northern Territory,Total,20,,
Sep-07,Debtor's petition,Australian Capital Territory,Total,40,,
Sep-07,Debtor's petition,Other,Total,19,,
Sep-07,Debtor's petition,Total,Total,5746,,
Sep-07,Sequestration order,New South Wales,Yes,144,,
Sep-07,Sequestration order,Victoria,Yes,125,,
Sep-07,Sequestration order,Queensland,Yes,101,,
Sep-07,Sequestration order,South Australia,Yes,13,,
Sep-07,Sequestration order,Western Australia,Yes,20,,
Sep-07,Sequestration order,Tasmania,Yes,8,,
Sep-07,Sequestration order,Northern Territory,Yes,3,,
Sep-07,Sequestration order,Australian Capital Territory,Yes,3,,
Sep-07,Sequestration order,Other,Yes,9,,
Sep-07,Sequestration order,Total,Yes,426,,
Sep-07,Sequestration order,New South Wales,No,95,,
Sep-07,Sequestration order,Victoria,No,55,,
Sep-07,Sequestration order,Queensland,No,44,,
Sep-07,Sequestration order,South Australia,No,18,,
Sep-07,Sequestration order,Western Australia,No,6,,
Sep-07,Sequestration order,Tasmania,No,1,,
Sep-07,Sequestration order,Northern Territory,No,4,,
Sep-07,Sequestration order,Australian Capital Territory,No,1,,
Sep-07,Sequestration order,Other,No,6,,
Sep-07,Sequestration order,Total,No,230,,
Sep-07,Sequestration order,New South Wales,Total,239,,
Sep-07,Sequestration order,Victoria,Total,180,,
Sep-07,Sequestration order,Queensland,Total,145,,
Sep-07,Sequestration order,South Australia,Total,31,,
Sep-07,Sequestration order,Western Australia,Total,26,,
Sep-07,Sequestration order,Tasmania,Total,9,,
Sep-07,Sequestration order,Northern Territory,Total,7,,
Sep-07,Sequestration order,Australian Capital Territory,Total,4,,
Sep-07,Sequestration order,Other,Total,15,,
Sep-07,Sequestration order,Total,Total,656,,
Sep-07,Total bankruptcies,New South Wales,Yes,785,,
Sep-07,Total bankruptcies,Victoria,Yes,502,,
Sep-07,Total bankruptcies,Queensland,Yes,468,,
Sep-07,Total bankruptcies,South Australia,Yes,109,,
Sep-07,Total bankruptcies,Western Australia,Yes,101,,
Sep-07,Total bankruptcies,Tasmania,Yes,44,,
Sep-07,Total bankruptcies,Northern Territory,Yes,11,,
Sep-07,Total bankruptcies,Australian Capital Territory,Yes,16,,
Sep-07,Total bankruptcies,Other,Yes,16,,
Sep-07,Total bankruptcies,Total,Yes,2052,,
Sep-07,Total bankruptcies,New South Wales,No,1620,,
Sep-07,Total bankruptcies,Victoria,No,982,,
Sep-07,Total bankruptcies,Queensland,No,910,,
Sep-07,Total bankruptcies,South Australia,No,399,,
Sep-07,Total bankruptcies,Western Australia,No,214,,
Sep-07,Total bankruptcies,Tasmania,No,163,,
Sep-07,Total bankruptcies,Northern Territory,No,16,,
Sep-07,Total bankruptcies,Australian Capital Territory,No,28,,
Sep-07,Total bankruptcies,Other,No,18,,
Sep-07,Total bankruptcies,Total,No,4350,,
Sep-07,Total bankruptcies,New South Wales,Total,2405,,
Sep-07,Total bankruptcies,Victoria,Total,1484,,
Sep-07,Total bankruptcies,Queensland,Total,1378,,
Sep-07,Total bankruptcies,South Australia,Total,508,,
Sep-07,Total bankruptcies,Western Australia,Total,315,,
Sep-07,Total bankruptcies,Tasmania,Total,207,,
Sep-07,Total bankruptcies,Northern Territory,Total,27,,
Sep-07,Total bankruptcies,Australian Capital Territory,Total,44,,
Sep-07,Total bankruptcies,Other,Total,34,,
Sep-07,Total bankruptcies,Total,Total,6402,,
Sep-07,Deceased estate,New South Wales,Yes,0,,
Sep-07,Deceased estate,Victoria,Yes,0,,
Sep-07,Deceased estate,Queensland,Yes,2,,
Sep-07,Deceased estate,South Australia,Yes,0,,
Sep-07,Deceased estate,Western Australia,Yes,0,,
Sep-07,Deceased estate,Tasmania,Yes,0,,
