Quarter,State,ASGS Code,ASGS Name,In a business or company,Number of people entering a new personal insolvency
2007Q3,New South Wales,10102,Queanbeyan,Yes,4
2007Q3,New South Wales,10102,Queanbeyan,No,14
2007Q3,New South Wales,10104,South Coast,Yes,12
2007Q3,New South Wales,10104,South Coast,No,26
2007Q3,New South Wales,10106,Young - Yass,Yes,6
2007Q3,New South Wales,10106,Young - Yass,No,9
2007Q3,New South Wales,10201,Gosford,Yes,28
2007Q3,New South Wales,10201,Gosford,No,68
2007Q3,New South Wales,10202,Wyong,Yes,33
2007Q3,New South Wales,10202,Wyong,No,84
2007Q3,New South Wales,10301,Bathurst,Yes,5
2007Q3,New South Wales,10301,Bathurst,No,13
2007Q3,New South Wales,10302,Lachlan Valley,Yes,7
2007Q3,New South Wales,10302,Lachlan Valley,No,23
2007Q3,New South Wales,10304,Orange,Yes,8
2007Q3,New South Wales,10304,Orange,No,16
2007Q3,New South Wales,10401,Clarence Valley,Yes,3
2007Q3,New South Wales,10401,Clarence Valley,No,22
2007Q3,New South Wales,10402,Coffs Harbour,Yes,14
2007Q3,New South Wales,10402,Coffs Harbour,No,23
2007Q3,New South Wales,10503,Dubbo,Yes,9
2007Q3,New South Wales,10503,Dubbo,No,31
2007Q3,New South Wales,10601,Lower Hunter,Yes,8
2007Q3,New South Wales,10601,Lower Hunter,No,29
2007Q3,New South Wales,10602,Maitland,Yes,5
2007Q3,New South Wales,10602,Maitland,No,13
2007Q3,New South Wales,10603,Port Stephens,Yes,9
2007Q3,New South Wales,10603,Port Stephens,No,19
2007Q3,New South Wales,10604,Upper Hunter,Yes,0
2007Q3,New South Wales,10604,Upper Hunter,No,6
2007Q3,New South Wales,10701,Dapto - Port Kembla,Yes,6
2007Q3,New South Wales,10701,Dapto - Port Kembla,No,28
2007Q3,New South Wales,10702,Illawarra Catchment Reserve,Yes,0
2007Q3,New South Wales,10702,Illawarra Catchment Reserve,No,0
2007Q3,New South Wales,10703,Kiama - Shellharbour,Yes,11
2007Q3,New South Wales,10703,Kiama - Shellharbour,No,19
2007Q3,New South Wales,10704,Wollongong,Yes,18
2007Q3,New South Wales,10704,Wollongong,No,25
2007Q3,New South Wales,10802,Kempsey - Nambucca,Yes,10
2007Q3,New South Wales,10802,Kempsey - Nambucca,No,13
2007Q3,New South Wales,10803,Lord Howe Island,Yes,0
2007Q3,New South Wales,10803,Lord Howe Island,No,0
2007Q3,New South Wales,10804,Port Macquarie,Yes,6
2007Q3,New South Wales,10804,Port Macquarie,No,23
2007Q3,New South Wales,10805,Taree - Gloucester,Yes,4
2007Q3,New South Wales,10805,Taree - Gloucester,No,19
2007Q3,New South Wales,10901,Albury,Yes,5
2007Q3,New South Wales,10901,Albury,No,20
2007Q3,New South Wales,10903,Upper Murray exc. Albury,Yes,7
2007Q3,New South Wales,10903,Upper Murray exc. Albury,No,11
2007Q3,New South Wales,11003,Moree - Narrabri,Yes,3
2007Q3,New South Wales,11003,Moree - Narrabri,No,6
2007Q3,New South Wales,11004,Tamworth - Gunnedah,Yes,4
2007Q3,New South Wales,11004,Tamworth - Gunnedah,No,21
2007Q3,New South Wales,11101,Lake Macquarie - East,Yes,13
2007Q3,New South Wales,11101,Lake Macquarie - East,No,38
2007Q3,New South Wales,11102,Lake Macquarie - West,Yes,5
2007Q3,New South Wales,11102,Lake Macquarie - West,No,16
2007Q3,New South Wales,11103,Newcastle,Yes,10
2007Q3,New South Wales,11103,Newcastle,No,52
2007Q3,New South Wales,11201,Richmond Valley - Coastal,Yes,9
2007Q3,New South Wales,11201,Richmond Valley - Coastal,No,17
2007Q3,New South Wales,11202,Richmond Valley - Hinterland,Yes,0
2007Q3,New South Wales,11202,Richmond Valley - Hinterland,No,14
2007Q3,New South Wales,11203,Tweed Valley,Yes,14
2007Q3,New South Wales,11203,Tweed Valley,No,21
2007Q3,New South Wales,11301,Griffith - Murrumbidgee (West),Yes,6
2007Q3,New South Wales,11301,Griffith - Murrumbidgee (West),No,14
2007Q3,New South Wales,11303,Wagga Wagga,Yes,9
2007Q3,New South Wales,11303,Wagga Wagga,No,32
2007Q3,New South Wales,11401,Shoalhaven,Yes,11
2007Q3,New South Wales,11401,Shoalhaven,No,31
2007Q3,New South Wales,11402,Southern Highlands,Yes,7
2007Q3,New South Wales,11402,Southern Highlands,No,11
