Quarter,Insolvencies,UnemploymentRate,Insolvencies_lag1,Insolvencies_lag2,Insolvencies_lag4,UnemploymentRate_lag1,Insolvencies_nextQ
2016Q3,30004.0,5.666666666666667,31334.0,28012.0,29841.0,5.666666666666667,27794.0
2016Q4,27794.0,5.733333333333333,30004.0,31334.0,27636.0,5.666666666666667,31010.0
2017Q1,31010.0,5.8,27794.0,30004.0,28012.0,5.733333333333333,30190.0
2017Q2,30190.0,5.566666666666666,31010.0,27794.0,31334.0,5.8,32256.0
2017Q3,32256.0,5.533333333333334,30190.0,31010.0,30004.0,5.566666666666666,29736.0
2017Q4,29736.0,5.5,32256.0,30190.0,27794.0,5.533333333333334,31072.0
2018Q1,31072.0,5.533333333333334,29736.0,32256.0,31010.0,5.5,32197.0
2018Q2,32197.0,5.4,31072.0,29736.0,30190.0,5.533333333333334,28542.0
2018Q3,28542.0,5.166666666666667,32197.0,31072.0,32256.0,5.4,26401.0
2018Q4,26401.0,5.033333333333333,28542.0,32197.0,29736.0,5.166666666666667,25174.0
2019Q1,25174.0,5.033333333333333,26401.0,28542.0,31072.0,5.033333333333333,25450.0
2019Q2,25450.0,5.233333333333333,25174.0,26401.0,32197.0,5.033333333333333,23490.0
2019Q3,23490.0,5.266666666666667,25450.0,25174.0,28542.0,5.233333333333333,20270.0
2019Q4,20270.0,5.166666666666667,23490.0,25450.0,26401.0,5.266666666666667,20313.0
2020Q1,20313.0,5.166666666666667,20270.0,23490.0,25174.0,5.166666666666667,16021.0
2020Q2,16021.0,6.9,20313.0,20270.0,25450.0,5.166666666666667,10854.0
2020Q3,10854.0,7.033333333333334,16021.0,20313.0,23490.0,6.9,8513.0
2020Q4,8513.0,6.766666666666667,10854.0,16021.0,20270.0,7.033333333333334,8897.0
2021Q1,8897.0,5.933333333333334,8513.0,10854.0,20313.0,6.766666666666667,9621.0
2021Q2,9621.0,5.2,8897.0,8513.0,16021.0,5.933333333333334,9261.0
2021Q3,9261.0,4.666666666666667,9621.0,8897.0,10854.0,5.2,8539.0
2021Q4,8539.0,4.666666666666667,9261.0,9621.0,8513.0,4.666666666666667,7633.0
2022Q1,7633.0,4.066666666666666,8539.0,9261.0,8897.0,4.666666666666667,7660.0
2022Q2,7660.0,3.8,7633.0,8539.0,9621.0,4.066666666666666,7951.0
2022Q3,7951.0,3.5,7660.0,7633.0,9261.0,3.8,7462.0
2022Q4,7462.0,3.466666666666667,7951.0,7660.0,8539.0,3.5,8043.0
2023Q1,8043.0,3.633333333333333,7462.0,7951.0,7633.0,3.466666666666667,8845.0
2023Q2,8845.0,3.6,8043.0,7462.0,7660.0,3.633333333333333,10317.0
2023Q3,10317.0,3.6666666666666665,8845.0,8043.0,7951.0,3.6,8510.0
2023Q4,8510.0,3.9,10317.0,8845.0,7462.0,3.6666666666666665,9850.0
2024Q1,9850.0,3.9,8510.0,10317.0,8043.0,3.9,9868.0
2024Q2,9868.0,4.033333333333333,9850.0,8510.0,8845.0,3.9,11309.0
2024Q3,11309.0,4.133333333333333,9868.0,9850.0,10317.0,4.033333333333333,9379.0
2024Q4,9379.0,4.0,11309.0,9868.0,8510.0,4.133333333333333,9892.0
2025Q1,9892.0,4.1,9379.0,11309.0,9850.0,4.0,10805.0
